Dataset,#TrainingRelease,Classifier,Feature Selection,Balancing,Sensitivity,Accuracy,Precision,Recall,AUC,Kappa
BOOKKEEPER,5,RANDOM_FOREST,NO_SELECTION,UNDERSAMPLING,NO_COST_SENSITIVE,99.708,0.992,1.000,1.000,0.994
BOOKKEEPER,5,NAIVE_BAYES,NO_SELECTION,UNDERSAMPLING,NO_COST_SENSITIVE,84.676,0.890,0.631,0.960,0.635
BOOKKEEPER,5,IBK,NO_SELECTION,UNDERSAMPLING,NO_COST_SENSITIVE,99.916,0.998,1.000,0.999,0.998
BOOKKEEPER,1,RANDOM_FOREST,NO_SELECTION,UNDERSAMPLING,SENSITIVE_THRESHOLD,87.891,1.000,0.648,0.824,0.707
BOOKKEEPER,1,NAIVE_BAYES,NO_SELECTION,UNDERSAMPLING,SENSITIVE_THRESHOLD,81.076,0.882,0.520,0.742,0.535
BOOKKEEPER,1,IBK,NO_SELECTION,UNDERSAMPLING,SENSITIVE_THRESHOLD,99.609,0.989,1.000,0.997,0.991
BOOKKEEPER,2,RANDOM_FOREST,NO_SELECTION,UNDERSAMPLING,SENSITIVE_THRESHOLD,99.913,1.000,0.997,0.999,0.998
BOOKKEEPER,2,NAIVE_BAYES,NO_SELECTION,UNDERSAMPLING,SENSITIVE_THRESHOLD,80.876,0.885,0.511,0.738,0.529
BOOKKEEPER,2,IBK,NO_SELECTION,UNDERSAMPLING,SENSITIVE_THRESHOLD,99.870,0.996,1.000,0.999,0.997
BOOKKEEPER,3,RANDOM_FOREST,NO_SELECTION,UNDERSAMPLING,SENSITIVE_THRESHOLD,99.914,1.000,0.997,0.999,0.998
BOOKKEEPER,3,NAIVE_BAYES,NO_SELECTION,UNDERSAMPLING,SENSITIVE_THRESHOLD,82.290,0.886,0.550,0.757,0.566
BOOKKEEPER,3,IBK,NO_SELECTION,UNDERSAMPLING,SENSITIVE_THRESHOLD,99.828,0.995,1.000,0.999,0.996
BOOKKEEPER,4,RANDOM_FOREST,NO_SELECTION,UNDERSAMPLING,SENSITIVE_THRESHOLD,98.972,1.000,0.971,0.985,0.977
BOOKKEEPER,4,NAIVE_BAYES,NO_SELECTION,UNDERSAMPLING,SENSITIVE_THRESHOLD,83.719,0.904,0.600,0.783,0.613
BOOKKEEPER,4,IBK,NO_SELECTION,UNDERSAMPLING,SENSITIVE_THRESHOLD,99.871,0.996,1.000,0.999,0.997
BOOKKEEPER,5,RANDOM_FOREST,NO_SELECTION,UNDERSAMPLING,SENSITIVE_THRESHOLD,99.207,0.999,0.978,0.989,0.982
BOOKKEEPER,5,NAIVE_BAYES,NO_SELECTION,UNDERSAMPLING,SENSITIVE_THRESHOLD,85.136,0.915,0.625,0.797,0.643
BOOKKEEPER,5,IBK,NO_SELECTION,UNDERSAMPLING,SENSITIVE_THRESHOLD,99.916,0.998,1.000,0.999,0.998
BOOKKEEPER,1,RANDOM_FOREST,NO_SELECTION,UNDERSAMPLING,SENSITIVE_LEARNING,92.622,1.000,0.786,1.000,0.828
BOOKKEEPER,1,NAIVE_BAYES,NO_SELECTION,UNDERSAMPLING,SENSITIVE_LEARNING,80.990,0.880,0.518,0.964,0.533
BOOKKEEPER,1,IBK,NO_SELECTION,UNDERSAMPLING,SENSITIVE_LEARNING,99.609,0.989,1.000,0.997,0.991
BOOKKEEPER,2,RANDOM_FOREST,NO_SELECTION,UNDERSAMPLING,SENSITIVE_LEARNING,93.495,1.000,0.811,1.000,0.849
BOOKKEEPER,2,NAIVE_BAYES,NO_SELECTION,UNDERSAMPLING,SENSITIVE_LEARNING,80.833,0.883,0.511,0.941,0.528
BOOKKEEPER,2,IBK,NO_SELECTION,UNDERSAMPLING,SENSITIVE_LEARNING,99.870,0.996,1.000,0.999,0.997
BOOKKEEPER,3,RANDOM_FOREST,NO_SELECTION,UNDERSAMPLING,SENSITIVE_LEARNING,98.328,1.000,0.951,1.000,0.962
BOOKKEEPER,3,NAIVE_BAYES,NO_SELECTION,UNDERSAMPLING,SENSITIVE_LEARNING,82.118,0.879,0.550,0.940,0.562
BOOKKEEPER,3,IBK,NO_SELECTION,UNDERSAMPLING,SENSITIVE_LEARNING,99.828,0.995,1.000,0.998,0.996
BOOKKEEPER,4,RANDOM_FOREST,NO_SELECTION,UNDERSAMPLING,SENSITIVE_LEARNING,98.843,1.000,0.967,1.000,0.974
BOOKKEEPER,4,NAIVE_BAYES,NO_SELECTION,UNDERSAMPLING,SENSITIVE_LEARNING,83.505,0.895,0.601,0.953,0.608
BOOKKEEPER,4,IBK,NO_SELECTION,UNDERSAMPLING,SENSITIVE_LEARNING,99.871,0.996,1.000,0.999,0.997
BOOKKEEPER,5,RANDOM_FOREST,NO_SELECTION,UNDERSAMPLING,SENSITIVE_LEARNING,98.998,1.000,0.971,1.000,0.978
BOOKKEEPER,5,NAIVE_BAYES,NO_SELECTION,UNDERSAMPLING,SENSITIVE_LEARNING,85.010,0.910,0.625,0.951,0.641
BOOKKEEPER,5,IBK,NO_SELECTION,UNDERSAMPLING,SENSITIVE_LEARNING,99.916,0.998,1.000,0.999,0.998
BOOKKEEPER,1,RANDOM_FOREST,NO_SELECTION,SMOTE,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,1,NAIVE_BAYES,NO_SELECTION,SMOTE,NO_COST_SENSITIVE,81.207,0.853,0.549,0.955,0.545
BOOKKEEPER,1,IBK,NO_SELECTION,SMOTE,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000
