Dataset,#TrainingRelease,Classifier,Feature Selection,Balancing,Sensitivity,Accuracy,Precision,Recall,AUC,Kappa,NPofB20
STORM,8,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,36.194,0.626,0.189,0.468,-0.044,0.1645940014630578
STORM,8,IBK,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,97.173,0.961,1.000,0.954,0.932,0.9446341463414634
STORM,9,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,76.880,1.000,0.665,0.833,0.551,0.6614634146341464
STORM,9,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,36.749,0.886,0.096,0.534,0.044,0.09168495488905146
STORM,9,IBK,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,100.000,1.000,1.000,1.000,1.000,0.9578048780487805
STORM,10,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,71.249,1.000,0.584,0.792,0.464,0.5815706297106735
STORM,10,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,34.995,0.952,0.062,0.528,0.035,0.06222654350996597
STORM,10,IBK,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,99.950,1.000,1.000,0.999,0.999,0.9479698516897641
STORM,11,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,73.078,1.000,0.610,0.805,0.492,0.6073425723316314
STORM,11,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,34.173,0.971,0.049,0.523,0.029,0.04861448711716091
STORM,11,IBK,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,100.000,1.000,1.000,1.000,1.000,0.9457816678823243
STORM,12,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,73.296,1.000,0.614,0.807,0.495,0.6100170192073912
STORM,12,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,33.803,0.973,0.043,0.520,0.025,0.04302382109868741
STORM,12,IBK,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,100.000,1.000,1.000,1.000,1.000,0.9455385363481643
